	TCGA-A1-A0SP-01	TCGA-A1-A0SB-01	TCGA-A1-A0SM-01	TCGA-A1-A0SO-01	TCGA-A1-A0SK-01	TCGA-A1-A0SF-01	TCGA-A1-A0SQ-01	TCGA-A1-A0SN-01	TCGA-A1-A0SG-01	TCGA-A1-A0SE-01	TCGA-A1-A0SH-01	TCGA-A1-A0SD-01	TCGA-A1-A0SI-01	TCGA-A1-A0SJ-01
100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100133144	32	34	21	46	160	24	1	39	17	30	5	29	13	4
100134869	26	32	24	80	92	25	3	18	12	14	8	34	10	14
10357	522	258	378	1420	3551	330	103	296	191	465	221	182	216	369
10431	1832	1459	2633	2478	3464	2847	1923	2241	2980	3295	2739	2956	2984	2094
136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155060	384	621	256	529	529	734	188	338	707	227	265	253	509	174
26823	0	1	1	4	1	0	0	0	1	0	0	1	1	1
280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340602	0	2	0	6	6	0	0	0	0	0	0	2	1	0
388795	2	2	1	6	0	7	1	2	6	3	1	1	2	1
390284	15	4	18	27	11	22	14	16	24	17	11	14	9	13
391343	0	0	2	0	0	0	0	0	3	1	0	1	5	0
391714	1	1	0	0	0	0	0	0	0	1	0	1	0	2
404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0
553137	1	1	2	0	1	5	11	0	30	4	138	11	0	6
57714	1824	937	2983	1914	511	581	1346	2548	2037	1621	2817	3243	3828	3563
645851	16	22	24	33	35	8	5	13	25	14	9	43	25	22
652919	11	0	162	48	88	0	57	153	36	0	152	0	11	27
653553	191	97	582	226	217	645	299	1502	1087	911	351	686	868	1739
728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
728603	0	0	0	0	27	0	0	0	0	0	0	0	0	0
