	TCGA-AC-A2BM-01	TCGA-AC-A2FM-01	TCGA-AC-A3QP-01	TCGA-AC-A23C-01	TCGA-AC-A62X-01	TCGA-AC-A2QJ-01	TCGA-AC-A2B8-01	TCGA-AC-A8OR-01	TCGA-AC-A3QQ-01	TCGA-AC-A8OS-01	TCGA-AC-A23G-01	TCGA-AC-A2FB-01	TCGA-AC-A3TN-01	TCGA-AC-A3YI-01	TCGA-AC-A3HN-01	TCGA-AC-A23H-01	TCGA-AC-A6IV-01	TCGA-AC-A6NO-01	TCGA-AC-A2QI-01	TCGA-AC-A7VC-01	TCGA-AC-A8OP-01	TCGA-AC-A7VB-01	TCGA-AC-A3EH-01	TCGA-AC-A2FF-01	TCGA-AC-A62V-01	TCGA-AC-A23E-01	TCGA-AC-A62Y-01	TCGA-AC-A6IW-01	TCGA-AC-A2BK-01	TCGA-AC-A3YJ-01	TCGA-AC-A3W7-01	TCGA-AC-A5EH-01	TCGA-AC-A5XS-01	TCGA-AC-A4ZE-01	TCGA-AC-A5XU-01	TCGA-AC-A2QH-01	TCGA-AC-A2FE-01	TCGA-AC-A3OD-01	TCGA-AC-A2FO-01	TCGA-AC-A2FK-01	TCGA-AC-A2FG-01	TCGA-AC-A3TM-01	TCGA-AC-A8OQ-01	TCGA-AC-A3BB-01	TCGA-AC-A3W5-01	TCGA-AC-A3W6-01	TCGA-AC-A6IX-01
100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
100133144	18	25	7	49	4	0	71	27	2	65	1	32	3	24	41	17	24	31	11	5	25	43	9	30	5	9	4	4	29	13	66	0	0	108	19	4	8	48	12	36	15	7	15	6	11	10	39
100134869	26	26	3	34	3	3	63	27	23	66	8	23	5	3	35	13	24	42	19	34	61	45	26	12	25	9	14	22	38	0	113	22	24	90	31	19	16	51	14	20	21	19	32	19	32	20	26
10357	243	561	401	345	201	140	270	153	212	193	114	264	297	317	373	385	184	224	517	282	162	434	512	340	191	398	283	204	738	269	441	327	327	175	423	164	597	709	259	211	287	213	194	465	386	309	339
10431	3155	2068	2776	2035	8885	1504	2812	1487	2381	941	929	2548	2835	2014	2738	2186	1537	2078	2195	1607	1461	3672	3556	1984	3817	3418	2075	3735	4104	1926	1552	2840	3285	1836	1643	977	3291	4527	2065	1166	3439	3241	1231	2772	2038	1978	2497
136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155060	1251	617	535	889	231	366	801	625	434	2157	289	557	904	1056	1146	518	1003	1453	442	1012	1973	1728	386	368	1182	224	512	705	350	769	1598	464	353	1628	1152	230	507	1342	501	410	1005	973	1184	854	910	989	796
26823	2	3	0	1	0	0	5	0	3	3	0	3	1	0	5	2	4	5	1	0	2	1	0	5	0	0	1	0	0	4	5	0	0	5	3	1	0	6	0	5	5	1	9	2	2	0	3
280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340602	0	0	1	0	0	1	1	0	0	1	1	1	2	0	3	0	2	0	2	0	0	0	1	1	4	1	2	0	0	0	1	20	10	0	0	1	1	1	1	1	0	1	472	0	0	1	0
388795	3	1	5	4	6	0	3	2	4	5	0	2	9	1	7	0	4	4	2	2	4	3	1	1	1	1	8	1	2	3	5	24	14	7	2	1	5	4	3	2	2	4	18	3	1	12	4
390284	33	30	21	25	5	5	24	5	13	6	10	21	23	11	14	19	15	4	18	11	5	24	26	31	11	22	20	13	12	8	36	5	13	12	15	9	34	41	16	13	30	23	5	18	10	14	13
391343	1	0	0	9	0	0	0	0	0	0	2	1	0	0	0	0	2	2	1	0	9	0	0	1	3	0	0	1	1	0	4	0	0	3	1	0	1	1	6	0	1	0	26	0	0	0	0
391714	1	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	2	0	0	0	0	0	0	0	2	0	0	1	1	1	1	0	2	2	0	1	0	0	0	1
404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
442388	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
553137	1	0	3	4	4	0	4	0	1	1	0	12	1	4	4	1	0	0	2	0	0	2	2	1	0	1	2	6	0	30	0	0	0	3	1	0	2	0	8	1	1	0	0	0	0	1	2
57714	1662	1486	390	5337	2328	99	9697	1177	326	1480	712	6901	233	557	2610	2398	1902	843	1986	153	1876	5076	1021	2860	884	3160	607	1386	2566	124	1168	1097	1459	1079	1099	673	1697	5548	1228	2676	1494	251	2088	525	765	648	2018
645851	43	41	11	42	12	0	51	12	4	39	2	41	15	59	47	52	27	42	32	8	65	61	30	41	0	17	37	58	69	8	67	24	7	144	52	24	13	64	36	10	22	4	66	19	21	21	48
652919	112	14	0	234	0	0	65	52	0	0	43	160	0	19	187	557	108	2	10	0	43	0	0	168	0	0	0	0	0	0	108	0	0	47	64	0	112	105	0	260	275	0	36	12	51	67	4
653553	1149	1827	1911	753	543	3261	1195	584	4028	231	1010	276	1237	571	1352	1530	1100	968	503	549	1158	1374	897	288	4046	575	1691	558	393	672	568	1139	1386	651	3919	176	1423	1570	553	133	436	3432	352	1632	651	929	2479
728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
728603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
728788	0	16	4	2	0	2	0	2	0	2	0	0	0	0	0	0	1	2	0	0	2	0	0	1	0	0	0	1	1	1	3	4	2	3	0	3	1	4	0	0	3	0	0	0	0	0	2
