	TCGA-AN-A0AK-01	TCGA-AN-A0FD-01	TCGA-AN-A0XO-01	TCGA-AN-A0FY-01	TCGA-AN-A0FV-01	TCGA-AN-A0FX-01	TCGA-AN-A0AS-01	TCGA-AN-A0AT-01	TCGA-AN-A0FS-01	TCGA-AN-A046-01	TCGA-AN-A0XV-01	TCGA-AN-A0FN-01	TCGA-AN-A0FJ-01	TCGA-AN-A0FT-01	TCGA-AN-A0FL-01	TCGA-AN-A0G0-01	TCGA-AN-A0XL-01	TCGA-AN-A0AM-01	TCGA-AN-A041-01	TCGA-AN-A0FW-01	TCGA-AN-A03X-01	TCGA-AN-A0XS-01	TCGA-AN-A0XN-01	TCGA-AN-A0XR-01	TCGA-AN-A03Y-01	TCGA-AN-A0FZ-01	TCGA-AN-A0FK-01	TCGA-AN-A0XT-01	TCGA-AN-A04A-01	TCGA-AN-A0AL-01	TCGA-AN-A0AR-01	TCGA-AN-A0FF-01	TCGA-AN-A0XP-01	TCGA-AN-A04C-01	TCGA-AN-A0AJ-01	TCGA-AN-A04D-01	TCGA-AN-A0XW-01	TCGA-AN-A049-01	TCGA-AN-A0XU-01
100130426	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100133144	14	0	19	27	10	17	8	57	14	19	15	0	12	3	0	68	18	29	47	11	12	17	13	23	35	43	3	42	26	11	34	8	15	14	44	44	5	17	91
100134869	11	14	21	38	10	29	21	28	18	26	11	8	12	2	5	36	15	17	40	26	0	26	8	18	26	19	3	21	12	10	23	9	22	18	6	36	27	6	65
10357	457	345	324	684	453	390	218	965	516	411	222	391	177	247	359	422	177	279	672	593	123	388	162	255	490	575	281	114	324	750	679	358	183	654	386	1269	230	249	533
10431	2361	2430	3001	2954	2763	2761	1988	6144	3545	3620	3210	2963	1686	3902	2931	2896	2066	4805	2797	2059	1360	2224	1720	3660	3420	2882	2242	1821	3726	3719	5013	2257	2650	6078	4941	5839	3032	2514	2313
136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155060	174	174	330	875	177	1606	128	233	586	724	722	400	196	525	98	335	539	517	369	509	100	510	169	256	1827	437	233	537	132	86	1401	594	309	710	160	827	146	337	244
26823	0	0	1	3	0	0	0	0	3	0	2	0	1	0	1	1	0	1	1	0	0	1	1	0	2	1	0	1	1	3	0	4	1	0	1	0	2	0	0
280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0
317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340602	0	0	0	0	203	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	2	5	0	0	0	31	999	0	0	0	1	3	0	0	0
388795	0	2	5	15	8	2	8	4	6	7	0	4	0	1	1	0	57	3	0	1	0	8	2	0	7	62	0	1	0	2	4	2	9	15	0	7	3	12	4
390284	15	12	12	20	13	15	12	13	52	22	22	30	4	13	10	15	22	9	21	17	9	12	12	16	21	23	8	26	35	10	6	21	16	46	27	31	24	11	14
391343	0	0	0	0	38	0	0	0	1	0	4	1	0	0	0	1	13	0	18	1	15	0	0	0	0	0	0	3	2	3	0	1	0	0	0	2	0	0	0
391714	0	1	0	1	3	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	0	0	3
404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
