	TCGA-AO-A129-01	TCGA-AO-A12H-01	TCGA-AO-A03O-01	TCGA-AO-A0JB-01	TCGA-AO-A03N-01	TCGA-AO-A0J7-01	TCGA-AO-A0J6-01	TCGA-AO-A1KT-01	TCGA-AO-A0JG-01	TCGA-AO-A0J3-01	TCGA-AO-A126-01	TCGA-AO-A1KQ-01	TCGA-AO-A1KO-01	TCGA-AO-A03P-01	TCGA-AO-A03L-01	TCGA-AO-A03M-01	TCGA-AO-A124-01	TCGA-AO-A0JJ-01	TCGA-AO-A03U-01	TCGA-AO-A12D-01	TCGA-AO-A03R-01	TCGA-AO-A12G-01	TCGA-AO-A0JC-01	TCGA-AO-A0J8-01	TCGA-AO-A0JE-01	TCGA-AO-A0J9-01	TCGA-AO-A0J2-01	TCGA-AO-A0JM-01	TCGA-AO-A0J4-01	TCGA-AO-A03V-01	TCGA-AO-A0JA-01	TCGA-AO-A12E-01	TCGA-AO-A1KR-01	TCGA-AO-A1KS-01	TCGA-AO-A03T-01	TCGA-AO-A0JD-01	TCGA-AO-A1KP-01	TCGA-AO-A128-01	TCGA-AO-A0JL-01	TCGA-AO-A125-01	TCGA-AO-A0J5-01	TCGA-AO-A12B-01	TCGA-AO-A12F-01	TCGA-AO-A0JI-01	TCGA-AO-A0JF-01	TCGA-AO-A12A-01
100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100133144	35	12	6	5	3	8	21	29	33	44	0	4	39	41	48	18	47	10	13	9	2	4	32	19	11	17	20	1	40	44	48	32	0	57	9	7	17	65	7	19	68	5	31	9	3	19
100134869	14	0	9	10	0	10	9	8	29	44	8	6	18	32	43	3	45	10	26	17	10	3	13	12	7	16	10	11	51	15	56	23	11	46	4	45	28	29	16	15	39	1	42	19	12	34
10357	332	184	350	66	177	268	387	265	277	436	219	626	282	429	266	455	398	141	307	298	147	273	406	392	229	317	1381	196	671	287	229	146	196	679	166	912	376	319	103	162	466	148	433	94	232	347
10431	4737	2879	3407	737	7135	3394	5744	4570	2740	3375	2882	3057	1683	3691	3968	3696	5925	2567	2162	1185	2238	3118	1899	4068	3257	4781	8410	2223	3496	2827	1301	3807	3348	4444	4343	4847	4388	3990	2769	3153	2581	1772	6496	2549	2174	2729
136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155060	436	552	269	428	111	377	435	396	400	711	923	1005	303	539	228	601	308	220	254	302	323	146	830	293	222	532	228	73	480	668	446	560	244	589	481	183	1672	891	1706	1679	283	654	842	321	250	808
26823	4	2	0	0	0	1	0	1	1	3	0	0	4	7	0	0	0	2	1	3	0	0	2	1	2	0	2	0	0	3	2	1	1	3	0	1	4	1	0	4	2	0	5	2	0	2
280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317712	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340602	4	0	0	1	0	0	0	2	0	4	2	2	2	0	0	14	222	1	0	1	0	0	18	0	38	0	0	0	2	0	1	3	0	0	0	8	1	4	3	0	1	0	0	0	0	0
388795	1	2	10	3	0	0	1	3	0	3	8	12	1	2	9	0	4	0	2	3	4	2	8	2	12	5	6	0	2	5	2	8	1	6	3	3	4	8	3	5	1	1	8	1	2	2
390284	8	34	57	4	5	18	16	15	13	57	9	16	6	27	13	27	5	12	10	6	13	17	5	33	11	23	15	25	11	9	18	16	10	16	32	11	18	11	7	8	34	15	21	10	19	16
391343	0	3	0	0	8	5	1	0	1	23	0	6	5	0	0	1	3	2	0	0	0	2	6	1	15	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	3	0	0	0	0	0
391714	2	0	0	0	0	0	0	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	5	0	0	5	0	0	0	0	0	2	3	0	3
404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
553137	4	36	0	0	0	0	19	48	3	11	15	3	21	0	0	2	81	0	0	5	4	309	5	0	0	0	6	1	1	0	0	0	0	0	0	0	173	101	8	0	0	7	3	17	0	0
57714	944	559	2682	139	956	709	2445	1179	3009	1023	337	2127	1803	1383	3063	12101	2312	1635	2458	1624	259	608	2052	2821	2822	962	2861	606	5710	1021	2478	5778	753	2163	445	2566	999	8950	202	1168	2602	702	728	1192	2447	1403
645851	31	18	11	1	6	16	23	40	67	58	8	19	23	15	11	22	16	12	26	116	7	6	56	34	90	13	17	4	32	33	15	66	21	76	17	7	89	44	18	74	69	7	127	12	9	27
652919	0	121	6	0	0	50	0	0	0	165	16	6	0	0	171	29	0	99	387	112	18	0	46	0	26	19	39	0	401	2	26	61	0	113	0	23	122	97	0	25	210	2	23	314	72	89
653553	261	826	361	613	2099	2135	943	3240	329	929	746	4311	145	1180	1763	3846	251	289	207	558	1322	690	233	691	353	2723	924	465	498	818	1843	2365	153	723	6341	2057	1883	1069	1204	1234	1029	289	175	764	303	655
728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
728603	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
728788	0	1	0	1	0	0	2	0	3	1	0	0	3	4	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	2	0	1
729884	16	1	1	8	75	1	11	85	37	0	1	22	15	3	23	3	22	1	21	63	1	2	138	8	111	0	2	5	1	0	101	17	181	11	9	237	9	0	1	25	1	1	1	2	82	81
8225	1257	1476	972	867	639	1458	2433	1045	1222	3336	1749	2707	756	1832	1315	2014	2040	1180	1190	595	1231	1052	1705	1806	698	1377	1315	923	937	1272	1404	1347	628	889	1200	857	775	1375	1015	2157	2191	1286	920	1501	1001	1356
90288	13	21	83	44	448	492	6	187	17	130	160	59	44	32	50	65	13	94	1	7	15	85	73	616	66	150	16	5	6	175	27	219	36	19	79	22	113	18	3	498	87	409	39	115	99	244
A1BG	222	556	200	508	708	845	463	550	733	782	1520	1108	172	687	142	1380	300	269	133	63	430	1856	271	479	408	274	812	274	184	1420	292	432	193	183	1069	145	267	670	813	1548	493	502	252	627	342	377
A1CF	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A2BP1	3	0	2	0	0	1	0	0	0	0	0	0	2	27	0	2	1	0	1	1	1	0	0	14	5	0	0	20	0	1	1	1	0	0	0	3	16	2	0	0	2	0	1	1	2	3
A2LD1	81	315	79	77	131	134	490	218	197	290	386	61	225	320	185	166	287	217	101	216	110	345	189	362	229	209	84	132	259	135	173	282	24	437	95	115	499	497	68	227	530	94	73	366	295	278
A2ML1	4911	0	68	12	153	0	6385	12	11	1	6	14	58	0	6	72	4119	2	65	322	3	0	135	13	77	7	52	0	1869	21	113	21	9	11	12	247	6	8288	49	3	2	1	244	0	102	6
A2M	39242	32763	14952	19079	16128	9924	26893	32603	51166	16576	32049	11688	65504	25083	35672	44625	56130	56716	78865	27820	24228	44627	27656	28552	32242	66181	18557	16505	287508	25013	46379	67765	9696	34587	25624	15153	8744	35893	24961	17920	52815	12358	168652	18141	65964	66632
A4GALT	2335	276	2309	243	384	810	1902	1272	574	1886	851	881	277	253	567	1760	434	1066	1811	308	210	632	986	747	751	1287	380	738	2670	589	615	1463	185	335	395	300	321	1959	351	507	1059	1106	671	230	1060	615
A4GNT	1	4	0	0	0	0	1	0	2	2	0	0	1	1	0	1	0	0	5	2	0	0	3	2	0	4	1	0	6	2	3	11	0	0	0	0	1	2	0	0	4	0	0	3	0	3
AAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	1621	2141	1266	857	1794	3017	1454	3571	2102	2717	2759	2788	1713	2392	2674	2232	1758	1677	1476	1130	1726	1655	2088	2914	1636	3287	2242	1411	1764	1683	1789	3327	998	1815	2077	1923	2763	1665	862	3002	2282	1139	1207	2311	1443	2068
AACSL	10	0	0	0	0	0	0	0	1	1	0	2	0	17	4	5	32	0	0	0	5	0	0	0	0	8	0	0	0	3	0	8	0	20	8	6	2	0	9	3	1	0	20	3	0	0
AACS	2476	5828	2353	389	1647	3726	4018	5253	2830	5005	3113	1325	4853	2329	3297	5891	2856	2327	5524	2859	1354	3799	928	5679	3232	2355	6207	1473	3370	2896	2074	5370	1670	1595	2460	1275	2110	2086	517	2021	3361	4228	1360	3023	2021	2468
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	15	0	13	0	0	0	0	0	1	0	6	0	0	27	0	1	0	0	0	0	0	0	3	0
AADACL3	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	0	201	1	0	0	0	1	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	2	0	0	0	0	6	1	0	0	3	44	0	2	7	1	0	1	5	1	0	48	0	24	111	17	1	0	28	3	27	3	0	0	56	1	68	9	0	10	0	46	1	160	5
AADAT	138	281	73	10	31	29	269	97	135	7	68	154	215	257	59	96	1078	66	60	87	22	40	25	69	1244	95	508	70	402	72	244	71	276	322	32	16	543	28	217	2	411	6	1068	400	73	116
AAGAB	2508	4931	5439	1033	3260	5651	3407	6727	6874	9598	3474	3496	2620	12711	6704	5551	4545	3759	3157	2043	2253	5238	2093	8443	3923	2069	4476	3667	4866	13969	5648	7331	1030	7057	2924	11675	5590	4553	971	3615	6067	3306	2130	6628	4108	4120
AAK1	1900	2062	2256	353	1174	3311	4157	1981	3939	2607	1614	1349	3591	1042	1772	2913	3311	3339	4105	2560	948	1759	3977	3851	2052	1818	2880	1521	3926	2935	3957	3358	1411	2864	1398	3553	1802	3678	691	1868	3508	1636	1996	3539	2695	2435
AAMP	9536	9689	7055	2137	3108	10037	6453	7988	8656	14671	8159	5954	3278	6746	7178	8155	6736	6480	6095	2398	4352	11241	3389	11382	5222	4110	12064	3077	11399	7163	6812	9649	5163	1017	6491	4143	3913	7951	2504	5630	8059	5504	8799	4504	4899	5379
AANAT	3	0	0	0	0	0	3	1	2	1	2	1	2	1	2	3	2	0	1	0	0	0	2	1	1	0	9	0	0	1	0	1	1	0	2	0	3	3	0	0	1	0	0	0	0	1
AARS2	1906	1523	803	368	910	770	2374	1125	2090	1467	1066	713	902	1545	1679	1490	1588	735	1024	1275	515	929	1135	1421	975	1074	1414	1147	1889	1025	1394	1659	1419	409	909	1324	692	1442	752	1130	1621	1109	2387	1410	840	1013
AARSD1	1660	2097	813	608	938	2045	2095	2504	1010	1945	1960	2135	1061	2944	1182	1184	3359	1351	1417	658	1237	1850	1214	2052	1855	1985	1420	1016	2053	599	909	1769	934	373	1842	770	911	949	526	1605	960	2356	1922	985	1175	1177
AARS	10569	11824	7628	1307	3001	6065	27346	23010	11946	17332	4893	5287	5202	11677	8894	19619	16627	5973	10394	8017	3093	6351	4128	7582	10373	5910	10324	5480	28953	6885	6852	8288	5285	3797	7120	7576	3048	14910	4526	2588	14774	5836	11446	6097	4858	5682
AASDHPPT	1589	3350	895	612	2713	3152	4064	2040	2707	5081	1164	1754	3675	2119	3625	4879	2709	2073	2772	1821	1389	1230	2083	4088	1467	1926	1653	1833	2140	1616	2641	2436	780	4657	1320	2124	7358	2492	1132	1868	1674	2317	2286	4528	2200	3625
AASDH	576	958	1013	84	194	598	1547	1015	1547	1386	582	525	1768	987	956	1512	732	904	904	409	189	600	792	1728	938	382	876	475	2115	985	1023	1351	219	1773	309	964	1273	854	666	1130	1286	657	589	1273	940	1032
AASS	376	1253	225	170	249	211	592	371	1511	579	1565	264	2671	631	599	441	897	856	753	319	204	379	1412	1123	649	730	553	218	542	157	439	786	568	317	225	309	475	253	435	1830	959	108	1293	328	623	991
AATF	4011	4997	4254	771	1457	6479	7079	5860	2335	5004	3951	5776	2166	4125	3413	2599	7873	3454	3021	1517	1456	3182	3392	5837	5846	3059	6868	2433	3386	2254	2025	5499	2503	2985	4159	3765	2971	4824	2723	2830	2876	2482	4263	4773	2201	3182
AATK	124	1658	58	46	24	79	488	555	405	59	147	45	50	63	52	81	84	168	88	47	323	179	110	581	105	134	89	17	115	64	98	136	144	130	217	29	131	231	177	545	726	93	296	871	58	84
ABAT	325	4249	3570	282	2907	10032	379	813	3206	4359	1262	5253	1592	2091	8949	6878	840	3844	695	310	119	930	2443	30310	1936	3049	1186	2208	540	2969	3823	11996	172	3598	940	2628	3808	457	262	13329	2112	4862	1284	1070	3762	13627
ABCA10	41	20	23	17	0	6	14	8	165	2	45	15	706	13	59	25	29	193	53	14	9	13	149	5	14	125	6	4	10	48	95	127	9	141	72	2	47	33	24	4	53	6	15	52	66	188
ABCA11P	338	448	135	77	187	220	131	187	312	240	308	384	438	102	499	642	147	221	242	92	159	332	498	633	407	295	290	195	290	513	329	392	189	674	220	274	565	695	488	589	351	299	253	235	335	351
ABCA12	131	1	219	1383	3962	3	212	1317	56	18	65	2394	243	10	2393	10206	88	425	9	4177	382	190	27	176	3475	243	1495	156	16	169	4626	20273	18	5555	314	2499	250	4	7	1280	7	213	9	9	513	151
ABCA13	794	1	0	1	4	2	3979	2	16	0	1	7	449	1	2	13	156	3	257	7	5	1	43	0	33	0	0	1	228	1	16	6	50	4	22	97	0	393	52	0	0	0	119	1	44	26
ABCA17P	78	28	10	16	5	12	37	18	9	54	39	123	24	132	16	111	114	17	13	4	9	41	7	54	26	169	31	0	32	62	27	27	8	5	37	14	101	78	97	68	9	277	26	74	20	27
ABCA1	1045	1131	1094	338	1008	3099	2241	1655	3696	480	1204	518	2571	1907	2258	2648	3648	3747	4407	1822	502	3563	3917	3752	1631	4636	777	1037	4181	3594	4091	3300	196	6247	741	1107	639	8169	626	648	5816	515	2564	570	2426	2788
ABCA2	2353	5567	2043	1075	930	3984	4043	4168	3804	4845	3256	3433	2978	1286	3075	5674	1782	2971	2680	2298	1306	1878	2865	7290	1635	2127	3035	1446	4989	3179	5378	5881	5748	6368	3893	4571	4238	8528	1473	4243	4564	4249	4023	3945	3566	3295
