	TCGA-C8-A273-01	TCGA-C8-A134-01	TCGA-C8-A12Q-01	TCGA-C8-A1HL-01	TCGA-C8-A12Y-01	TCGA-C8-A12W-01	TCGA-C8-A1HF-01	TCGA-C8-A1HN-01	TCGA-C8-A133-01	TCGA-C8-A278-01	TCGA-C8-A12K-01	TCGA-C8-A26Y-01	TCGA-C8-A12V-01	TCGA-C8-A1HI-01	TCGA-C8-A12P-01	TCGA-C8-A1HK-01	TCGA-C8-A12M-01	TCGA-C8-A274-01	TCGA-C8-A1HE-01	TCGA-C8-A131-01	TCGA-C8-A130-01	TCGA-C8-A8HR-01	TCGA-C8-A27B-01	TCGA-C8-A1HO-01	TCGA-C8-A27A-01	TCGA-C8-A132-01	TCGA-C8-A26W-01	TCGA-C8-A8HQ-01	TCGA-C8-A1HG-01	TCGA-C8-A12O-01	TCGA-C8-A137-01	TCGA-C8-A3M7-01	TCGA-C8-A8HP-01	TCGA-C8-A275-01	TCGA-C8-A26X-01	TCGA-C8-A12X-01	TCGA-C8-A1HJ-01	TCGA-C8-A12Z-01	TCGA-C8-A26V-01	TCGA-C8-A1HM-01	TCGA-C8-A138-01	TCGA-C8-A12L-01	TCGA-C8-A12N-01	TCGA-C8-A3M8-01	TCGA-C8-A135-01	TCGA-C8-A12T-01	TCGA-C8-A12U-01	TCGA-C8-A26Z-01
100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100133144	48	60	35	21	10	15	14	17	6	17	56	53	4	4	1	30	83	68	27	15	23	12	34	57	319	18	47	26	29	42	11	72	1	47	12	8	65	15	2	46	25	45	15	52	5	17	4	75
100134869	19	77	34	7	13	6	8	6	0	6	26	34	15	11	11	19	13	73	14	28	38	28	28	32	122	10	15	32	11	30	11	43	3	29	9	4	111	11	10	4	2	39	15	41	9	12	20	20
10357	266	693	201	211	250	220	441	380	152	303	754	277	264	290	211	232	62	276	338	469	1007	182	798	225	663	310	515	415	131	224	281	487	143	488	182	73	971	210	210	273	332	229	221	219	223	254	199	324
10431	4146	8685	4673	3257	8082	1647	4663	8073	2535	4800	3591	3093	1836	3531	4357	3156	994	4705	3480	2831	6061	2080	4683	3797	2427	2800	4561	3679	1782	3302	2937	2850	1325	3226	3412	1690	5116	2451	3090	2346	2567	2961	3000	2323	3140	2626	2717	3763
136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155060	411	917	808	109	626	196	131	1193	92	442	271	625	219	288	253	46	247	786	662	385	895	1089	217	219	1264	380	908	1641	215	271	190	831	1106	256	149	248	139	124	356	142	380	184	589	652	156	183	293	671
26823	0	0	0	1	0	0	0	3	0	0	0	5	1	1	1	1	1	8	1	1	1	0	3	1	4	1	1	2	0	1	0	3	4	1	2	0	0	1	1	1	0	0	0	4	0	0	1	2
280660	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340602	0	1	17	0	0	0	0	1	0	0	0	100	0	4	0	7	0	1	3	0	0	2	0	2	17	3	0	0	40	0	4	1	0	1	0	0	7	0	0	0	191	0	1	0	1	0	1	1
388795	1	3	0	4	16	1	0	8	0	4	2	2	3	2	0	1	8	4	3	2	6	0	0	0	1	1	8	14	1	0	0	0	27	0	0	1	0	0	0	1	9	0	2	9	0	0	1	0
