	TCGA-GM-A2DA-01	TCGA-GM-A3XL-01	TCGA-GM-A3NW-01	TCGA-GM-A2DD-01	TCGA-GM-A5PX-01	TCGA-GM-A3NY-01	TCGA-GM-A2DN-01	TCGA-GM-A2DO-01	TCGA-GM-A3XG-01	TCGA-GM-A2DC-01	TCGA-GM-A4E0-01	TCGA-GM-A2DF-01	TCGA-GM-A2DI-01	TCGA-GM-A2DM-01	TCGA-GM-A5PV-01	TCGA-GM-A2DL-01	TCGA-GM-A2DH-01	TCGA-GM-A3XN-01	TCGA-GM-A2DK-01	TCGA-GM-A2DB-01	TCGA-GM-A2D9-01
100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
100133144	9	8	3	0	3	41	8	1	9	5	3	3	6	25	8	14	66	14	15	13	13
100134869	10	15	18	5	5	22	21	3	6	3	3	17	7	9	21	5	32	19	7	7	6
10357	74	872	216	157	404	335	238	178	418	92	202	207	113	131	414	192	504	495	166	157	97
10431	1081	2956	2642	3039	2654	5446	2458	897	2857	1983	864	3287	784	1983	3336	2210	5298	2093	2270	3944	1792
136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155060	653	623	644	352	451	1309	568	424	971	1091	1249	551	185	379	394	281	564	1695	442	340	374
26823	0	0	0	0	0	2	2	0	0	2	3	1	0	2	0	0	1	1	1	1	0
280660	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	44	0
317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340602	3	1	1	14	0	1	0	7	3	0	0	0	0	0	1	0	0	1	1	175	0
388795	1	3	10	3	0	16	11	7	1	1	0	4	2	2	2	1	13	2	11	1	1
390284	9	12	28	19	43	39	15	8	28	29	1	6	7	20	24	15	15	28	21	15	15
391343	23	0	0	7	5	0	2	2	0	0	0	1	2	2	0	0	3	3	0	0	0
391714	0	0	2	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0
404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
442388	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
553137	1	5	154	19	1	0	0	2	2	0	1	158	0	39	0	3	16	0	1	1	2
57714	291	1532	360	1259	303	627	1596	382	222	532	307	519	2454	1073	180	814	7994	911	396	283	264
645851	10	20	31	8	12	24	8	12	17	120	25	20	9	6	4	7	136	27	6	1	26
652919	66	0	45	35	0	0	0	18	0	0	0	5	0	40	0	0	0	0	0	0	0
653553	724	285	1355	2377	747	1937	351	637	1004	2261	569	652	288	535	792	2010	508	1548	4188	3620	1205
728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
728603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
728788	1	4	3	0	0	3	0	2	2	6	0	0	0	0	0	0	0	0	1	0	1
729884	2	0	3	183	2	4	19	0	90	1	0	5	7	76	15	2	2	4	9	935	1
8225	756	4236	2900	932	1793	1956	1396	514	3052	1293	1111	1801	533	1277	2445	1409	2777	1600	1303	2050	1053
90288	8	15	59	16	273	534	172	42	168	32	21	4	93	148	248	90	158	325	53	50	88
A1BG	299	304	1739	552	556	1949	307	233	719	607	181	172	167	341	942	486	356	915	602	138	1009
A1CF	0	0	0	0	0	0	0	0	2	1	1	0	0	0	2	1	0	0	0	0	0
A2BP1	1	0	2	1	12	3	0	0	16	0	0	1	1	0	9	0	10	3	1	0	0
A2LD1	79	244	996	216	357	258	231	164	275	149	143	814	80	211	348	127	276	245	132	101	112
A2ML1	4	1530	0	236	1	0	138	1	21	2	2	1183	7	1	14	0	705	5	0	964	1
A2M	11572	8117	19999	31503	34265	24219	38843	5276	140335	9436	49024	26111	22706	18271	20834	26784	29840	50743	35071	7114	14043
A4GALT	467	1738	334	983	1077	457	1612	414	1042	325	1346	1751	541	844	614	1277	470	1608	956	169	527
A4GNT	0	0	0	0	0	4	0	0	0	0	0	0	1	2	0	8	5	5	1	2	2
AAA1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
AAAS	1233	3071	2353	1615	2281	3748	1609	949	2669	1339	1098	1669	730	1864	2349	1479	2439	2538	2052	1279	2271
AACSL	2	1	1	78	2	1	0	6	4	1	0	8	0	0	5	0	0	2	3	64	1
AACS	519	3445	2965	7964	1735	1200	2166	513	2738	1619	922	4660	549	4479	3026	1526	2829	2018	1811	2275	1152
AADACL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	2	3	1	0	0	0	0	0	0	5	1	0	0	1	0	0	1	6	0	1
AADACL4	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	1	0
AADAC	13	5	0	21	32	0	2	0	0	2	1	20	2	1	5	31	6	72	2	21	0
AADAT	41	203	121	1898	115	84	146	13	103	66	37	68	17	34	13	79	1642	136	144	3075	60
AAGAB	1050	6198	4791	1753	3854	4773	3052	1541	3831	3039	1071	2031	1763	3294	4447	3194	6855	3231	3650	1436	1889
AAK1	658	1529	1557	2050	1600	1883	1801	877	1639	1144	1141	1274	1553	1692	2038	1465	4240	1922	1235	831	814
AAMP	1868	20143	10163	3760	7497	5406	6110	2333	9374	6304	2700	4449	2639	6741	9954	5148	11818	6996	3420	2713	3407
AANAT	0	4	2	3	2	0	1	1	0	2	0	3	1	2	0	1	0	5	1	0	0
AARS2	382	1747	1497	1087	1322	2025	1270	452	1461	442	534	915	552	1154	1290	903	2292	1438	722	804	578
AARSD1	373	2122	2076	1040	2559	2858	1346	542	2839	1900	668	1292	426	1649	2144	746	1442	1496	1425	672	1199
AARS	1048	19433	5225	5447	3523	3071	5311	1487	7542	2678	2362	6998	2442	9733	4209	5044	18844	4532	5257	3603	2120
AASDHPPT	1179	1741	1428	1560	2054	2814	2381	779	2254	2622	842	1267	1032	2435	2781	1258	3610	2142	2664	1735	709
AASDH	168	872	626	261	1083	592	645	214	906	342	215	413	296	1010	695	409	1933	681	292	181	289
AASS	376	373	854	280	806	1660	523	166	1111	101	589	174	364	1056	755	431	292	1099	383	128	293
AATF	607	3407	3289	2395	2915	2945	2998	1102	3581	4971	1352	2608	1027	3571	2836	1371	5631	3052	2764	1151	1725
AATK	21	245	726	54	344	188	212	57	344	573	112	128	42	1082	79	135	411	827	172	54	155
ABAT	2324	59	287	1194	2439	14271	5815	1195	2611	190	2232	146	4680	5336	4186	2652	858	9369	3741	540	2803
ABCA10	68	158	42	70	189	156	24	57	141	30	425	27	50	18	26	31	31	245	149	10	27
ABCA11P	133	226	140	177	358	1066	392	218	500	140	186	90	135	265	395	179	305	533	313	132	253
ABCA12	137	94	37	1028	136	52	407	48	1514	2	4	38	174	6	1164	1927	17409	7	29	228	453
ABCA13	2	4	7	0	3	3	4	1	18	0	0	1453	0	3	0	0	0	2	6	14	0
ABCA17P	11	385	45	19	70	37	23	14	27	171	13	53	10	22	54	6	46	56	291	29	9
ABCA1	862	1498	539	1218	872	1579	992	544	1203	1405	1441	1309	1273	3687	805	3045	3552	2426	2268	332	956
ABCA2	2345	5355	3502	1722	2674	4406	4687	2855	5897	7936	1780	1704	2282	6238	2207	2303	4467	4998	7295	535	2475
ABCA3	1345	1273	5349	3824	2778	3258	2057	2811	2897	11012	1020	3660	2834	18446	3194	3586	2655	9243	7324	3088	1354
ABCA4	262	8	52	8	88	1300	39	29	372	5	150	120	64	51	303	44	51	49	47	43	273
