	TCGA-LL-A442-01	TCGA-LL-A73Z-01	TCGA-LL-A73Y-01	TCGA-LL-A8F5-01	TCGA-LL-A7SZ-01	TCGA-LL-A440-01	TCGA-LL-A7T0-01	TCGA-LL-A6FP-01	TCGA-LL-A740-01	TCGA-LL-A50Y-01	TCGA-LL-A6FQ-01	TCGA-LL-A5YM-01	TCGA-LL-A441-01	TCGA-LL-A5YN-01	TCGA-LL-A6FR-01	TCGA-LL-A5YL-01	TCGA-LL-A5YO-01	TCGA-LL-A5YP-01	TCGA-LL-A9Q3-01
100130426	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
100133144	16	0	35	0	0	35	9	6	3	2	6	1	24	2	0	0	2	10	0
100134869	14	19	23	8	7	40	27	0	9	9	6	0	42	6	27	11	7	14	21
10357	434	376	216	201	176	408	237	138	293	242	177	199	682	192	92	276	506	457	136
10431	2894	3277	1223	1934	2090	1688	3212	2664	2525	2137	4383	1814	1642	1955	2141	4054	2984	2735	2762
136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155060	955	479	782	524	726	2124	555	1687	569	643	485	257	2025	703	261	365	301	230	1051
26823	3	0	0	0	1	3	0	5	1	0	1	0	3	1	0	0	0	0	0
280660	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340602	0	2	0	0	1	1	1	0	1	0	0	1	12	4	0	1	19	6	0
388795	11	1	4	3	1	14	15	0	2	2	1	1	5	8	2	4	3	1	0
390284	12	20	19	4	6	9	14	23	17	24	15	10	19	8	6	10	10	10	10
391343	6	1	0	3	4	1	0	24	0	0	0	0	2	0	0	0	2	0	0
391714	0	0	0	1	0	1	0	0	0	0	1	0	2	1	0	0	1	0	0
404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
553137	4	3	1	0	1	6	0	3	0	1	0	0	0	1	0	3	2	0	8
57714	3850	368	2376	358	242	1934	1309	613	672	156	338	129	1670	548	115	317	788	1147	207
645851	49	13	52	16	5	58	49	15	12	10	1	0	192	4	0	0	8	8	6
652919	37	0	36	2	0	0	10	0	60	0	0	0	108	0	0	0	0	4	0
653553	957	781	222	1271	2036	730	1978	6480	4255	735	19100	7639	642	1284	2550	3097	693	777	3366
728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
728603	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
728788	3	0	0	1	0	2	5	0	0	0	10	0	0	0	0	0	0	1	0
729884	16	9	1	25	3	4	6	0	315	7	18	1	16	3	0	84	4	17	29
8225	1837	1196	1351	1332	1355	2370	2640	3448	2558	2817	2939	3050	1556	2684	2312	2335	2991	2484	2059
90288	772	17	23	9	120	138	20	659	23	289	103	4	64	364	6	106	3	4	29
A1BG	716	441	611	667	575	679	498	3505	157	862	1662	2958	418	866	440	1392	537	301	1220
A1CF	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0
A2BP1	0	0	0	0	2	2	0	1	0	2	4	0	1	0	0	0	25	0	0
A2LD1	639	373	195	124	126	298	165	198	490	159	276	242	181	631	182	393	187	115	344
A2ML1	0	411	190	140	10	5	19	4	41	0	1	0	222	96	370	8	425	56	1
A2M	56150	62285	37049	22549	32397	78106	14749	6666	27415	11111	12850	15937	80604	15582	45475	19126	22458	105000	15495
A4GALT	330	1021	1270	1157	2204	2581	655	222	725	611	478	908	893	1497	1685	781	471	1148	355
A4GNT	4	1	9	2	0	15	0	0	3	0	0	0	3	0	1	0	0	5	0
AAA1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	2824	1340	1420	1840	2301	2114	2964	4402	1147	2329	2917	2719	2613	2288	948	2135	1311	1008	1355
AACSL	0	1	0	0	0	1	3	0	3	0	0	2	24	0	0	0	1	1	0
AACS	5231	2251	3686	1362	1506	1842	1939	5425	45171	1422	3508	1738	1261	2293	3327	2106	2640	1959	2816
AADACL2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	2	0	1	0
AADACL4	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
AADAC	0	6	4	0	0	84	0	0	6	0	1	0	65	3	4	12	3	14	0
AADAT	10	195	311	123	18	152	243	9	5182	9	32	74	296	31	162	298	584	439	35
AAGAB	4744	2968	2382	2026	2513	2658	5288	7137	3954	4508	3908	4398	2665	2509	2529	4400	2255	2569	3942
AAK1	2976	1225	3139	1473	602	3556	1134	2078	2386	1112	1189	947	2326	1304	1217	1518	1031	1647	709
AAMP	11802	5919	8651	6251	5801	6152	8327	19083	6788	6969	7565	9171	8512	8459	3228	7361	4016	5627	7267
AANAT	6	0	0	3	4	2	6	0	0	1	0	0	2	0	0	3	0	3	1
AARS2	1595	1368	1595	653	592	1508	1365	1506	2514	855	559	795	3042	805	837	1050	1224	1074	978
AARSD1	1481	1260	1426	4983	1925	1655	2486	2062	1527	1728	2809	5835	1655	1344	2014	2662	678	1086	1798
AARS	7933	6128	8595	20138	11560	7288	4967	8230	7387	2907	11237	9432	14089	5226	5647	6429	5121	10149	7672
AASDHPPT	4250	1487	1947	441	545	1933	1427	1116	1857	1140	594	594	2692	695	349	948	1053	1194	1081
AASDH	1404	585	683	418	252	999	494	1293	818	501	487	204	534	593	169	535	592	490	393
AASS	976	639	752	194	82	1400	145	559	237	165	192	316	1693	190	84	192	130	319	71
AATF	2922	2433	2268	2725	2172	2562	4594	3957	2430	3116	3431	8017	4894	2963	3570	3697	2025	2679	3110
AATK	822	150	193	176	143	483	54	295	105	273	505	584	264	374	55	80	65	191	1275
ABAT	8000	711	427	196	255	1614	1383	4655	388	2537	1169	963	1008	723	48	4534	333	344	3839
ABCA10	15	127	126	15	18	1164	26	9	20	1	8	19	262	30	8	21	57	27	10
ABCA11P	416	202	952	45	23	362	721	109	132	117	106	81	451	119	116	212	96	68	213
ABCA12	5	282	7	11	29	31	47	245	3919	26	6	15	15	472	39	1120	235	23	1719
ABCA13	4	14	36	8	0	13	0	2	8	0	1	1	199	1	215	49	7	137	6
ABCA17P	34	34	33	179	22	27	34	201	94	21	38	77	451	29	36	25	15	15	4
ABCA1	1670	1520	1872	1029	542	4587	587	288	1765	266	378	299	1913	1056	392	624	1055	1124	936
ABCA2	7493	2507	2319	5347	2282	5649	3959	6033	2948	2443	2147	1394	4019	2241	1106	1795	1879	1817	3715
ABCA3	48823	1756	1180	2609	1377	2964	2154	16080	36666	4198	18708	9897	6241	1946	525	3917	1328	3784	3251
ABCA4	221	70	34	4	12	230	83	33	12	239	36	9	53	73	309	77	36	11	8
ABCA5	2119	703	1520	421	163	1367	503	215	952	246	194	273	1897	285	155	152	558	609	67
ABCA6	27	412	445	8	155	1829	68	10	210	18	26	43	438	100	14	97	177	294	33
ABCA7	1954	954	1719	470	1378	1831	1160	1379	616	1375	2432	707	2444	1494	742	736	1289	404	556
ABCA8	7	515	168	1	29	2325	31	15	41	26	67	97	829	105	5	125	72	379	41
ABCA9	8	363	100	5	105	2679	52	7	103	8	22	37	351	68	20	45	105	142	37
ABCB10	2008	1164	1276	809	298	1446	812	2151	1135	663	569	710	1411	709	594	1938	831	880	1042
ABCB11	0	0	2	1	0	7	0	0	0	0	0	0	23	0	0	0	0	0	0
ABCB1	142	729	208	27	53	655	59	55	225	16	26	14	670	144	2	77	246	65	45
ABCB4	288	56	116	8	22	82	68	159	69	28	39	21	300	123	71	175	93	55	23
ABCB5	0	25	0	0	1	505	3	5	56	8	13	3	40	2	1	21	0	33	3
ABCB6	1709	1964	1185	1186	2457	1303	2654	1808	3586	691	514	952	1843	1226	813	1506	981	1183	1552
ABCB7	2027	1171	1042	779	412	1190	353	1255	857	1130	861	507	1553	658	696	723	532	530	567
ABCB8	4728	1564	1334	1211	2438	2516	3102	8240	2424	2562	3802	4246	2280	2353	2232	3220	2184	1314	3189
ABCB9	2889	314	349	467	592	286	463	3822	504	292	878	1332	304	871	669	972	287	336	858
ABCC10	2064	793	2154	1154	676	1846	1472	935	2812	663	849	788	2748	1047	826	676	1389	842	882
ABCC11	31940	1659	21	7	856	840	50	21217	24837	3142	974	20	66	174	13	4961	4792	2	132
ABCC12	929	33	0	0	88	8	0	2057	561	76	6	0	1	2	2	1277	74	0	3
ABCC13	0	6	1	0	0	3	56	5	0	29	13	0	7	73	0	2	2	0	3
ABCC1	2443	1669	1878	2972	1350	4449	3243	2499	7364	1314	1097	1516	2490	1473	2134	2625	1618	4436	2167
ABCC2	19	250	37	8	18	46	74	4	2668	1	3	4	72	10	15	22	7	9	11
ABCC3	542	1394	2189	1866	326	2690	571	237	6408	2094	392	254	1274	442	267	2291	804	325	741
ABCC4	479	375	580	462	115	769	116	31	1771	165	48	118	597	147	68	218	409	325	124
