	TCGA-OL-A5RW-01	TCGA-OL-A5RX-01	TCGA-OL-A6VR-01	TCGA-OL-A5S0-01	TCGA-OL-A5RV-01	TCGA-OL-A66O-01	TCGA-OL-A5RZ-01	TCGA-OL-A66P-01	TCGA-OL-A66J-01	TCGA-OL-A66H-01	TCGA-OL-A97C-01	TCGA-OL-A66L-01	TCGA-OL-A66N-01	TCGA-OL-A66I-01	TCGA-OL-A5D7-01	TCGA-OL-A6VO-01	TCGA-OL-A5DA-01	TCGA-OL-A5D8-01	TCGA-OL-A5RU-01	TCGA-OL-A5D6-01	TCGA-OL-A6VQ-01	TCGA-OL-A66K-01	TCGA-OL-A5RY-01
100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
100133144	14	13	4	22	44	3	18	1	6	3	34	0	0	2	16	98	11	16	8	5	8	21	0
100134869	12	23	35	8	34	21	54	2	11	5	43	13	6	3	30	90	18	35	16	11	11	11	8
10357	228	339	229	417	309	220	393	125	277	277	160	117	104	379	374	412	333	351	267	157	105	257	337
10431	1746	1831	3034	5271	1709	3760	2686	1774	2553	2482	991	3066	2168	1717	3089	3949	1960	1582	2237	2114	661	2283	2481
136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155060	283	1180	973	347	1361	2151	1589	230	717	811	635	1938	553	505	686	796	959	1480	997	409	241	1338	182
26823	0	2	0	2	3	1	3	1	1	5	1	1	0	1	0	1	2	5	4	0	0	3	0
280660	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340602	3	0	1	3	1	0	0	13	0	0	3	0	2	5	0	1	3	0	2	0	0	0	2
388795	2	2	4	3	0	1	8	4	18	5	1	0	13	6	5	0	5	6	3	7	1	5	5
390284	1	11	18	10	2	19	2	6	13	10	1	12	17	6	10	22	10	17	10	8	6	6	9
391343	0	0	0	0	8	0	1	0	7	0	0	0	0	1	0	0	0	1	0	0	0	0	1
391714	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
553137	1	1	11	0	0	0	2	0	22	0	1	1	2	0	47	397	2	0	1	5	7	0	0
57714	627	525	490	225	1504	357	409	208	269	463	658	243	478	607	1621	1705	485	860	564	475	531	406	332
645851	8	22	21	2	38	10	70	1	24	9	17	1	7	27	49	32	36	68	34	18	16	36	8
652919	0	30	0	0	42	0	0	0	0	0	0	0	0	0	0	5	0	0	84	21	3	0	0
653553	1063	1178	1243	894	1080	13382	1317	3086	2528	964	431	6854	1500	586	1057	177	499	2488	1100	1408	516	2595	567
728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
728603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
728788	0	2	0	3	0	0	0	0	1	2	3	0	0	0	0	1	0	1	0	0	1	2	0
729884	2	38	236	2	290	3	4	17	5	3	28	0	4	3	0	1	0	2	16	634	5	2	1802
8225	1882	1812	2490	1188	2090	3109	2158	2197	1207	2262	912	4045	2634	1201	2330	1191	1996	1351	2233	1395	487	2124	1210
90288	7	220	555	6	150	124	15	27	50	44	47	191	135	12	9	27	193	476	214	41	51	405	18
A1BG	431	420	1044	771	296	2210	72	1066	593	123	465	1643	1779	497	358	128	766	336	594	258	278	1019	258
A1CF	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A2BP1	1	4	2	1	11	3	0	0	0	0	1	0	2	0	0	0	2	0	0	2	0	3	1
A2LD1	111	268	752	410	270	365	345	210	88	385	96	222	258	209	103	698	261	360	270	336	85	382	210
A2ML1	4179	11	11	3178	11	0	37	4	5	0	1	2	2	1959	1034	156	3	6	9	53	5	2	281
A2M	6160	35851	18687	27705	40985	9639	7355	20124	31357	26398	21921	30864	30604	99666	9257	7555	19579	16229	22287	34539	17173	18001	31125
A4GALT	297	928	4165	1160	1251	1023	232	646	4483	393	456	1761	1145	558	327	379	470	3478	1104	572	577	1584	899
A4GNT	0	1	1	0	4	1	0	0	0	1	0	0	1	4	0	0	0	0	1	0	0	1	0
