	TCGA-AQ-A54N-01	TCGA-AQ-A04J-01	TCGA-AQ-A04H-01	TCGA-AQ-A7U7-01	TCGA-AQ-A0Y5-01	TCGA-AQ-A04L-01	TCGA-AQ-A54O-01	TCGA-AQ-A1H2-01	TCGA-AQ-A1H3-01	TCGA-LD-A66U-01	TCGA-LD-A74U-01	TCGA-LD-A9QF-01	TCGA-LD-A7W6-01	TCGA-LD-A7W5-01	TCGA-PL-A8LY-01	TCGA-PL-A8LV-01	TCGA-PL-A8LZ-01	TCGA-PL-A8LX-01	TCGA-3C-AALI-01	TCGA-3C-AALK-01	TCGA-3C-AALJ-01	TCGA-3C-AAAU-01	TCGA-PE-A5DD-01	TCGA-PE-A5DE-01	TCGA-PE-A5DC-01	TCGA-WT-AB41-01	TCGA-WT-AB44-01	TCGA-XX-A89A-01	TCGA-XX-A899-01	TCGA-Z7-A8R5-01	TCGA-Z7-A8R6-01	TCGA-HN-A2OB-01	TCGA-HN-A2NL-01	TCGA-OK-A5Q2-01	TCGA-JL-A3YW-01	TCGA-JL-A3YX-01	TCGA-4H-AAAK-01	TCGA-UL-AAZ6-01	TCGA-UU-A93S-01	TCGA-V7-A7HQ-01	TCGA-W8-A86G-01	TCGA-5T-A9QA-01	TCGA-5L-AAT0-01	TCGA-GI-A2C8-01	TCGA-GI-A2C9-01	TCGA-MS-A51U-01	TCGA-LQ-A4E4-01
100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100133144	0	52	15	30	30	28	0	29	32	11	30	6	21	37	0	44	19	18	17	29	13	47	8	4	19	0	0	47	37	4	20	21	25	3	25	16	16	1	6	0	12	3	7	44	52	12	36
100134869	7	65	16	23	21	7	22	14	15	13	25	9	37	46	9	74	23	9	32	27	10	38	22	12	19	8	4	58	54	12	71	20	27	16	39	58	34	36	15	5	30	17	23	21	69	15	28
10357	201	741	213	207	250	142	164	140	357	174	135	166	360	280	246	159	342	196	128	348	170	151	213	251	233	68	52	136	350	142	482	296	338	302	551	887	198	340	188	49	270	206	195	217	497	289	235
10431	3832	5637	3459	1245	2750	4204	2636	3986	2733	2853	1826	1906	1640	1552	1842	2109	2267	1099	1037	2092	1501	1184	2463	1486	2705	1579	2305	1530	1658	1909	2884	1395	1838	1909	3720	3341	1801	3933	3989	2796	1470	2716	1377	1985	3997	1819	2659
136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155060	761	267	580	2415	271	282	1120	382	607	1241	1082	587	1534	1081	378	1194	380	1007	949	1336	653	3444	576	427	1214	357	865	797	1085	422	684	723	888	829	690	4171	613	665	253	1010	1671	146	471	657	851	1036	616
26823	1	1	5	3	1	4	0	5	1	0	2	0	6	3	1	0	0	1	2	1	0	0	4	1	1	0	5	1	7	1	1	1	1	0	1	1	1	0	0	1	1	1	0	2	1	3	2
280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
