	TCGA-S3-AA0Z-01	TCGA-S3-A6ZH-01	TCGA-S3-A6ZF-01	TCGA-S3-AA11-01	TCGA-S3-AA14-01	TCGA-S3-AA15-01	TCGA-S3-AA10-01	TCGA-S3-A6ZG-01	TCGA-S3-AA17-01	TCGA-S3-AA12-01
100130426	0	0	0	0	0	0	1	0	0	0
100133144	62	16	42	40	21	10	26	50	10	8
100134869	101	10	50	65	41	6	25	37	21	21
10357	409	360	462	173	168	199	295	445	143	283
10431	1812	3676	2992	1693	1049	1475	2583	2234	2640	1708
136542	0	0	0	0	0	0	0	0	0	0
155060	633	541	1516	3399	552	504	417	1436	1774	1535
26823	2	1	2	4	1	1	1	4	1	2
280660	0	0	0	0	0	0	0	0	0	0
317712	0	0	0	0	0	0	0	0	0	0
340602	1	0	0	1	0	3	2	0	0	0
388795	6	7	7	18	6	2	5	4	7	0
390284	3	20	16	5	9	1	3	12	4	1
391343	2	0	1	0	1	0	1	0	3	0
391714	1	1	1	1	0	0	0	0	1	0
404770	0	0	0	0	0	0	0	0	0	0
441362	0	0	0	0	0	0	0	0	0	0
442388	0	0	0	0	0	0	0	0	0	0
553137	0	11	1	0	20	0	0	0	0	0
57714	1506	1643	5096	696	1960	619	2914	3272	6755	426
645851	276	86	49	45	61	32	23	49	37	56
652919	0	9	25	14	14	12	21	193	0	0
653553	59	5191	2573	684	319	262	149	1845	765	790
728045	0	0	0	0	0	0	0	0	0	0
728603	0	0	0	0	0	0	0	0	0	0
728788	8	0	0	1	0	1	0	2	0	0
729884	7	46	22	11	8	8	3	9	4	4
8225	812	1307	2523	1493	1478	1004	1077	1811	1251	1640
90288	140	15	410	61	36	18	29	439	41	357
A1BG	399	658	841	314	237	305	199	515	467	341
A1CF	1	1	0	0	0	1	1	3	2	0
A2BP1	0	0	0	0	0	0	23	1	0	3
A2LD1	151	322	324	220	166	204	429	205	175	205
A2ML1	2000	6	240	4	1	15	6601	1	1	1
A2M	25446	21004	23751	19286	22651	42278	27206	22247	28433	6092
A4GALT	380	593	1295	633	418	985	1889	941	1170	143
A4GNT	25	2	4	3	3	4	5	8	2	1
AAA1	0	0	0	0	0	0	0	0	0	0
AAAS	1943	2418	2354	2025	1545	1237	1514	2934	1741	2446
AACSL	0	0	2	1	1	2	0	10	1	7
AACS	3207	3883	3007	3284	2747	1601	1302	2716	1302	1482
AADACL2	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	4	0	1	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0
AADAC	1	1	1	0	1	5	1	0	1	0
AADAT	567	104	160	71	150	204	626	56	72	92
AAGAB	3208	9749	5686	4536	3319	1421	2413	5080	2033	5915
AAK1	2356	1683	2437	1742	1703	1561	2356	2075	2682	1041
AAMP	4623	8323	8878	6237	2830	4078	7996	8293	5058	6828
AANAT	6	0	2	0	0	4	2	3	6	0
AARS2	3820	2131	1501	1893	986	1040	1388	1161	1059	1011
AARSD1	1676	3070	1596	1372	800	831	1566	2341	1243	1390
AARS	5600	25004	9121	7474	5429	6278	6402	5818	6036	7601
AASDHPPT	1131	1707	1923	1672	1867	924	1770	2909	937	883
AASDH	640	1114	918	684	781	332	1005	1646	586	512
AASS	867	181	387	212	516	441	163	356	266	593
AATF	2832	6008	4272	2507	1262	2468	2876	4378	2992	2676
AATK	96	41	316	66	44	153	67	94	559	38
ABAT	917	3214	1917	1816	4283	268	225	9566	3660	1785
ABCA10	16	52	35	29	200	79	15	26	27	3
ABCA11P	277	129	216	234	146	88	104	444	232	51
ABCA12	1008	118	23	936	14	1	21	3063	4	61
ABCA13	614	3	4	5	1	6	34	8	6	0
ABCA17P	13	61	23	42	11	22	25	41	102	59
ABCA1	1569	2114	1761	1245	1776	1649	1615	2843	2264	486
ABCA2	7184	1547	9492	4374	1598	2020	1762	7958	3354	2965
ABCA3	232	21979	11949	4257	5501	963	1411	6537	5164	7311
ABCA4	19	30	17	193	1497	19	151	326	24	14
ABCA5	778	1269	841	911	1341	631	475	467	1610	347
ABCA6	63	150	176	35	410	289	58	129	201	21
ABCA7	4764	1101	953	1870	1412	1992	1174	1138	1047	1145
ABCA8	202	165	271	83	650	647	1	158	130	1
ABCA9	30	249	78	27	335	211	22	83	222	6
ABCB10	1645	2833	2864	909	928	800	1390	2140	1802	500
ABCB11	0	0	3	1	2	0	0	0	1	2
ABCB1	153	178	168	57	255	241	109	149	312	35
ABCB4	45	94	76	29	39	76	73	41	83	84
ABCB5	0	23	6	3	2	5	17	5	1	0
ABCB6	1799	808	1213	210	744	898	1223	448	1448	1588
ABCB7	966	1635	798	1172	779	766	1035	1283	872	1190
ABCB8	1475	2756	2253	2244	2517	1406	1423	2939	1737	2437
ABCB9	688	941	1083	229	313	271	403	571	1067	376
ABCC10	4203	1472	1553	1639	1025	1194	2210	1413	1341	955
ABCC11	5	3767	12	5490	9019	2	7	411	23	1899
ABCC12	0	41	0	219	131	1	0	1	0	10
ABCC13	2	0	50	29	100	0	0	529	4	0
ABCC1	25636	5007	3215	2362	2199	4077	2914	6577	4116	2547
ABCC2	12	40	32	4	119	26	25	53	40	9
ABCC3	170	2279	738	1061	396	927	716	3355	2934	121
ABCC4	292	160	324	79	419	683	2399	2582	334	50
ABCC5	9028	1730	28120	8597	1662	3117	3128	8108	2774	2374
ABCC6P1	21	7	4	17	2	3	1	6	11	15
ABCC6P2	87	63	43	85	33	8	11	23	25	217
ABCC6	438	137	130	996	87	32	24	78	54	1057
ABCC8	0	1447	286	2544	1718	3	0	173	647	897
ABCC9	519	323	493	160	395	884	123	309	252	100
ABCD1	2904	1126	1802	808	594	971	1581	970	1421	558
ABCD2	74	17	40	6	19	103	72	30	69	1
ABCD3	5664	16729	8657	6382	8408	1031	1768	4997	7240	6268
ABCD4	698	2935	754	1790	1060	1076	778	2103	1018	886
ABCE1	4041	4422	4494	2765	2490	1868	4573	4418	3186	2526
ABCF1	11646	7851	5767	4946	3960	4065	8233	5385	3932	3196
ABCF2	2438	4815	4102	2891	2806	2829	3229	2821	2232	2332
ABCF3	3971	3667	4666	3007	2322	2914	2651	2995	2758	2312
ABCG1	473	3521	2978	1859	1244	939	795	2327	4661	3447
ABCG2	27	77	60	92	350	115	33	75	69	89
ABCG4	3	7	19	1	13	16	6	5	2	1
ABCG5	27	4	7	6	11	1	3	7	0	1
ABCG8	1	3	0	0	2	0	0	1	0	0
ABHD10	2038	1754	2287	1277	1195	745	1394	2055	1099	1254
ABHD11	491	3871	9655	1869	4014	777	875	3417	3384	3014
ABHD12B	7	8	1	3	15	1	3	3	5	729
ABHD12	2383	3945	4477	2522	2012	1917	3965	4367	4406	2644
ABHD13	1364	807	1549	757	531	416	2288	1431	580	724
ABHD14A	297	609	282	500	443	606	351	398	381	546
ABHD14B	2423	4688	2467	1638	4493	2516	1815	3203	2056	5059
ABHD15	1586	1290	1031	695	1050	726	564	1356	1009	419
ABHD1	71	120	81	36	15	17	14	33	108	56
ABHD2	7463	23497	14846	6121	8182	5724	4963	49864	6292	12065
ABHD3	1042	2002	1371	583	1810	752	1113	13808	1024	611
ABHD4	1796	2573	2031	1495	1436	1292	997	4372	2222	1893
ABHD5	2019	2574	4844	1172	1661	1067	795	1957	791	1621
ABHD6	327	102	306	88	156	193	251	342	100	622
ABHD8	5291	892	585	798	417	740	595	1024	792	881
ABI1	6054	6266	5460	2636	1938	2273	7137	4653	4229	2640
ABI2	3045	2380	3786	2572	1459	2198	5274	4712	3233	2719
ABI3BP	457	569	843	283	511	1749	338	511	2727	43
ABI3	706	384	498	221	278	808	1388	500	846	134
